Serial,Event,Code Province/State,Province/State,Municipality,Date,Month,Day,Year,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Affected,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Agriculture,Year
3658,FLOOD,IDN33,JAWA TENGAH,KOTA PEKALONGAN,25-Dec-07,12,25,2007,,,,,,,,,,,,,,2007
3754,FLOOD,IDN35,JAWA TIMUR,LAMONGAN,26-Dec-07,12,26,2007,3,,1,12,,,35357,,,89,15,,,2007
3615,FLOOD,IDN33,JAWA TENGAH,PATI,26-Dec-07,12,26,2007,1,,,11,,,4200,,,26,,,,2007
3654,FLOOD,IDN33,JAWA TENGAH,KOTA SURAKARTA,26-Dec-07,12,26,2007,,,,7,,,2980,,,,,,,2007
3595,FLOOD,IDN33,JAWA TENGAH,KARANGANYAR,26-Dec-07,12,26,2007,62,85,,618,972,,501,,,5,,,,2007
3758,FLOOD,IDN35,JAWA TIMUR,GRESIK,26-Dec-07,12,26,2007,,,,,,,220,,,25,,,,2007
3592,FLOOD,IDN33,JAWA TENGAH,WONOGIRI,26-Dec-07,12,26,2007,16,6,1,523,1594,,,,8362.687,6,3,,,2007
3743,FLOOD,IDN35,JAWA TIMUR,NGAWI,26-Dec-07,12,26,2007,15,,,,,,,,,,,,,2007
3693,FLOOD,IDN35,JAWA TIMUR,MALANG,26-Dec-07,12,26,2007,4,2,1,304,1027,,,,1732.2,1,,,,2007
3668,FLOOD,IDN35,JAWA TIMUR,PONOROGO,26-Dec-07,12,26,2007,4,,,10,,,,,,,,,,2007
3662,FLOOD,IDN35,JAWA TIMUR,PACITAN,26-Dec-07,12,26,2007,2,,,339,441,,,,,,,,,2007
3738,FLOOD,IDN35,JAWA TIMUR,MAGETAN,26-Dec-07,12,26,2007,2,,,46,124,,,,,3,,,,2007
3641,FLOOD,IDN33,JAWA TENGAH,PEMALANG,26-Dec-07,12,26,2007,1,,,5,1,,,,,,,,,2007
3653,FLOOD,IDN33,JAWA TENGAH,BREBES,26-Dec-07,12,26,2007,,,,,11,,,,,,,,,2007
3590,FLOOD,IDN33,JAWA TENGAH,SUKOHARJO,26-Dec-07,12,26,2007,,,,43,87,,,,,,2,,,2007
3766,FLOOD,IDN35,JAWA TIMUR,KOTA MALANG,26-Dec-07,12,26,2007,,,,,150,,,,,1,2,,,2007
3767,FLOOD,IDN35,JAWA TIMUR,KOTA MADIUN,26-Dec-07,12,26,2007,,,,,,,,,,,,,,2007
3701,FLOOD,IDN35,JAWA TIMUR,JEMBER,26-Dec-07,12,26,2007,,,,,,,,,,,,,,2007
3727,FLOOD,IDN35,JAWA TIMUR,JOMBANG,26-Dec-07,12,26,2007,,,,,,,,,,,,,,2007
3761,FLOOD,IDN35,JAWA TIMUR,SAMPANG,26-Dec-07,12,26,2007,,,,,,,,,,,,,,2007
3734,FLOOD,IDN35,JAWA TIMUR,MADIUN,26-Dec-07,12,26,2007,,,,,,,,,,,,,,2007
3724,FLOOD,IDN35,JAWA TIMUR,MOJOKERTO,26-Dec-07,12,26,2007,,,,,,,,,,,,,,2007
3610,FLOOD,IDN33,JAWA TENGAH,BLORA,26-Dec-07,12,26,2007,,,,,,,,,,,,,,2007
3637,FLOOD,IDN33,JAWA TENGAH,PEKALONGAN,26-Dec-07,12,26,2007,,,,22,47,,,,,,,,,2007
3647,FLOOD,IDN33,JAWA TENGAH,TEGAL,26-Dec-07,12,26,2007,,,,11,7,,,,,,,,,2007
3634,FLOOD,IDN33,JAWA TENGAH,BATANG,26-Dec-07,12,26,2007,,,,21,85,,,,,,,,,2007
3697,FLOOD,IDN35,JAWA TIMUR,LUMAJANG,27-Dec-07,12,27,2007,,1,,,,,,,,,,,,2007
4200,FLOOD,IDN12,SUMATERA UTARA,LANGKAT,27-Dec-07,12,27,2007,,,,,,,,,,,,,,2007
3730,FLOOD,IDN35,JAWA TIMUR,NGANJUK,27-Dec-07,12,27,2007,,,,,,,,,,,,,,2007
3748,FLOOD,IDN35,JAWA TIMUR,BOJONEGORO,28-Dec-07,12,28,2007,2,,,,,,5090,,,18,,,,2007
3749,FLOOD,IDN35,JAWA TIMUR,TUBAN,30-Dec-07,12,30,2007,,,,,,,8254,,,,,,,2007
3682,FLOOD,IDN35,JAWA TIMUR,BLITAR,30-Dec-07,12,30,2007,,,,,,,,,,,,,,2007
3680,FLOOD,IDN35,JAWA TIMUR,TULUNGAGUNG,30-Dec-07,12,30,2007,,,,1,258,,,,,,,,,2007
4764,FLOOD,IDN31,DKI JAKARTA,KOTA JAKARTA BARAT,1-Jan-08,1,1,2008,,,,,,,2924,,,,,,,2008
4766,FLOOD,IDN31,DKI JAKARTA,KOTA JAKARTA SELATAN,1-Jan-08,1,1,2008,,,,,,,1778,,,,,,,2008
4775,FLOOD,IDN32,JAWA BARAT,KARAWANG,1-Jan-08,1,1,2008,,,,,,,,,,,,1,1,2008
4787,FLOOD,IDN33,JAWA TENGAH,PURBALINGGA,1-Jan-08,1,1,2008,,,,,,,,,,,,56,1,2008
4788,FLOOD,IDN33,JAWA TENGAH,PURWOREJO,1-Jan-08,1,1,2008,,,,,,,,,,,,273,1,2008
